order,Progress,Duration (in seconds),Finished,Response ID,DistributionChannel - Distribution Channel,"consentement",gender,gender_TEXT,sexual_orientation,"sexual_orientation_5_TEXT ",age_1,"kids ","kids_2","activity - Etes-vous (en ce moment) ","pays ","pays_4_TEXT ","nationalite ",nationalite_text,"society_ladder_1 - 10","society_ladder_2 - - 9","society_ladder_3 -- 8","society_ladder_4 -- 7","society_ladder_5 -- 6","society_ladder_6 -- 5","society_ladder_7 -- 4","society_ladder_8 -- 3","society_ladder_9 -- 2","society_ladder_10 -- 1",alarm_timer_First Click - Timing - First Click,alarm_timer_Last Click - Timing - Last Click,alarm_timer_Page Submit - Timing - Page Submit,alarm_timer_Click Count - Timing - Click Count,desc_norm,"presc_norm_d - Sur une échelle de 1 (perturbation totale) à 7 (conformité totale), veuillez évaluer dans quelle mesure les solutions proposées par Essaim d'Alerte sont compatibles avec le fonctionnement de votre pays ?",high_control_1,high_control_2,high_control_3,high_control_4,high_control_5,high_control_6,high_control_7,high_control_8,high_control_9,high_control_10,high_control_11,high_control_12,high_control_13,high_control_14,high_control_15,high_control_16,high_control_17,high_control_18,high_control_19,high_control_20,high_control_21,high_control_22,control_low_1,control_low_2,control_low_3,control_low_4,control_low_5,control_low_6,control_low_7,control_low_8,control_low_9,control_low_10,control_low_11,control_low_12,control_low_13,control_low_14,control_low_15,control_low_16,control_low_17,control_low_18,control_low_19,control_low_20,control_low_21,control_low_22,sdo_french_1,sdo_french_2,sdo_french_3,sdo_french_4,sdo_french_5,sdo_french_6,sdo_french_7,sdo_french_8,sdo_french_9,sdo_french_10,sdo_french_11,sdo_french_12,sdo_french_13,sdo_french_14,sdo_french_15,sdo_french_16,sdo_DO_1,sdo_DO_2,sdo_DO_3,sdo_DO_4,sdo_DO_5,sdo_DO_6,sdo_DO_7,sdo_DO_8,sdo_DO_9,sdo_DO_10,sdo_DO_11,sdo_DO_12,sdo_DO_13,sdo_DO_14,sdo_DO_15,sdo_DO_16,edo,condrition_high_low_control,condrition_high_low_control_text,sdo_or_edo_first
113,100,1134,1,R_2s0CxKv6KTEY5cs,anonymous,"1",3,,5,"demisexuelle",23,"1",,"3","1",,"1",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",79.658,291.847,314.891,5,20,"2",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,1,,,,1,,1,,,1,,1,1,7,1,7,1,7,1,7,1,7,7,7,1,1,6,1,10,3,13,15,14,8,9,4,6,1,11,12,7,5,16,2,1,2,low,sdo
537,100,679,1,R_Xze62IqLLLl2nHr,anonymous,"1",2,,2,,34,"1",,"6","4",,"4",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral",14.058,133.931,134.736,19,4,"1",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,,,,1,,,,,1,,1,1,7,1,7,1,7,1,7,1,7,7,7,1,3,7,1,7,9,15,6,8,10,14,3,4,12,13,5,1,11,16,2,1,2,low,sdo
669,100,730,1,R_3ewBJyP5trwSjYe,anonymous,"1",1,,2,,35,"1",,"2","1",,"1",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral",101.222,101.222,103.561,1,98,"7",,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,1,,,1,1,1,,,,,,,1,7,1,7,1,7,1,7,1,7,7,7,1,6,6,1,5,14,2,16,6,10,1,7,13,12,4,11,9,8,15,3,1,2,low,edo
752,97,337,0,R_uf6FiUyrRb7Jpnz,anonymous,"1",3,,4,,22,"1",,"1","3",,"4",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral",1.975,18.628,19.164,5,,"1",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,1,1,1,,,1,,,1,,,,,1,1,1,5,1,7,1,7,1,7,4,7,1,1,7,1,2,8,3,16,15,6,12,1,14,11,7,5,9,10,13,4,1,2,low,sdo
5,100,520,1,R_3RyZCK4p39GSSMr,anonymous,"1",1,,2,,26,"1",,"6","1",,"1",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",7.289,93.841,96.804,18,67,"3",,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,1,,,,1,1,,,,1,,1,1,7,1,7,1,7,1,6,1,7,7,7,1,1,7,1,12,5,7,3,6,10,14,13,1,8,11,15,2,16,9,4,1,2,low,sdo
99,100,878,1,R_6LHbWd2tTz4PQhb,anonymous,"1",2,,2,,62,"2",,"4","1",,"1",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",11.265,80.159,81.2,15,30,"5",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,1,,1,,1,1,1,1,1,7,1,7,7,7,1,7,1,7,7,7,2,2,7,1,3,2,9,7,14,8,15,12,6,4,16,11,10,1,13,5,1,2,low,edo
209,100,1867,1,R_2ccHDMyD4JN6gmK,anonymous,"1",2,,2,,23,"1",,"1","2",,"2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",3.667,203.518,205.911,21,21,"5",1,,,1,1,1,1,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,7,1,7,2,7,1,1,7,7,2,2,7,1,11,7,13,15,14,16,8,6,1,3,4,12,2,9,10,5,1,1,high,edo
279,100,575,1,R_2V9GoL1DnRVjs2T,anonymous,"1",1,,2,,26,"1",,"1","1",,"1",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",2.52,140.489,140.91,21,40,"2",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,,,,,,,,1,1,1,,1,7,3,7,1,7,1,12,1,7,7,7,1,1,12,1,4,3,10,6,9,13,16,14,7,12,8,11,1,15,2,5,1,2,low,sdo
54,100,762,1,R_1kUEWihhJR3QMfK,anonymous,"1",2,,2,,51,"2","3","2","2",,"2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",9.364,118.86,120.388,15,50,"2",,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,1,,,,1,,1,1,,1,1,,1,7,1,7,1,7,1,7,1,7,7,7,1,1,7,1,1,8,5,14,4,16,10,15,2,11,9,3,7,13,12,6,1,2,low,edo
226,100,917,1,R_1GV3WbXB3782YgI,anonymous,"1",2,,2,,53,"2","2","2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",8.132,132.699,132.914,27,60,"4",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,1,1,,,1,1,1,1,,,,,,1,7,1,7,1,7,1,7,1,7,7,7,1,1,7,1,15,3,7,9,5,2,4,16,14,10,1,12,6,11,13,8,1,2,low,edo
505,100,582,1,R_2zDas53BlzsH4aR,anonymous,"1",2,,2,,23,"1",,"1","1",,"2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",4.036,140.296,141.021,32,20,"8",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,1,,1,1,1,1,,1,1,7,1,7,1,7,2,7,1,7,7,7,1,1,6,1,2,14,10,3,6,1,12,4,11,5,9,16,15,13,7,8,1,2,low,edo
65,100,550,1,R_3BPMvfPwrAHhsaZ,anonymous,"1",2,,2,,18,"1",,"1","1",,"1",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",2.682,108.186,109.299,19,15,"2",,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,1,1,1,,1,,,,,,1,7,1,7,1,7,3,7,1,3,7,7,3,1,2,1,5,12,13,2,7,3,10,15,1,16,4,8,11,6,14,9,1,2,low,edo
207,100,665,1,R_2wErcdz2n893JUu,anonymous,"1",2,,2,,25,"1",,"1","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",0.94,176.571,177.669,26,65,"1",1,,,1,,1,,1,,,,1,1,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,1,7,1,7,1,7,7,7,1,1,7,1,14,16,5,11,15,3,1,13,4,7,2,6,10,8,12,9,1,1,high,edo
81,100,475,1,R_1ge8hsWwQ2GAQau,anonymous,"1",1,,2,,20,"1",,"1","1",,"2",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",9.577,80.011,80.769,12,11,"2",,,,1,1,1,,1,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,5,7,1,3,1,7,7,7,1,7,7,1,7,8,6,11,15,3,12,14,16,5,1,13,9,2,4,10,1,1,high,edo
289,100,972,1,R_2WUMQDe7AA8hA3D,anonymous,"1",2,,2,,59,"2","3","2","1",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",2.335,126.989,127.784,42,21,"3",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,1,1,,1,1,,,,,,,1,1,7,1,7,1,7,2,7,1,7,7,7,1,1,7,1,11,5,15,9,7,4,2,1,12,3,13,6,14,16,8,10,1,2,low,edo
676,100,1311,1,R_2Bt866snwWFz6X4,anonymous,"1",2,,2,,66,"2","2","2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral",4.657,170.714,171.624,39,60,"5",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,1,,1,1,,,1,1,,1,7,7,4,7,1,7,7,7,1,7,7,7,7,1,7,1,2,3,11,13,10,8,6,16,9,14,5,7,4,15,1,12,1,2,low,sdo
625,100,585,1,R_3J5a9F7BbItZCCu,anonymous,"1",2,,2,,18,"1",,"1","1",,"1",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",12.913,144.961,147.536,15,20,"5",,1,1,1,,1,1,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,1,7,1,7,1,7,7,7,1,1,7,1,9,15,5,14,2,10,7,6,11,8,3,16,12,4,1,13,1,1,high,edo
233,100,767,1,R_cu1NCqSLbeSxvSp,anonymous,"1",2,,2,,50,"1",,"2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",29.702,139.918,141.209,15,,"8",1,1,,1,,1,1,,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,1,6,1,7,1,7,6,7,1,2,2,1,13,10,11,1,8,4,9,12,6,16,5,15,3,2,7,14,1,1,high,sdo
97,100,881,1,R_2asG32xN3jJKqEW,anonymous,"1",1,,2,,21,"1",,"1","1",,"4",Marocaine,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6.265,163.939,164.783,30,10,"1",1,,,1,,1,1,,,,,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,7,1,5,1,7,1,7,5,7,1,1,4,1,11,4,12,9,1,16,14,13,2,7,3,5,8,10,6,15,1,1,high,edo
550,100,687,1,R_1Qm8QKJO6bYs2Jf,anonymous,"1",2,,2,,22,"1",,"1","1",,"2",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",3.922,89.891,91.348,28,35,"1",,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,,,1,1,1,1,,,,,,1,1,7,1,7,1,7,1,7,1,7,7,7,1,2,7,1,1,5,10,13,2,12,4,14,9,15,6,7,3,8,11,16,1,2,low,sdo
224,100,899,1,R_YQgmKYTsczMI20V,anonymous,"1",2,,2,,34,"2","2","2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",7.571,164.163,165.388,20,15,"3",,1,,1,,1,1,,,,,,,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,1,6,3,7,1,2,4,7,5,2,3,2,4,5,13,9,12,11,14,10,16,7,6,15,3,1,8,2,1,1,high,edo
63,100,462,1,R_2touFNbTbfpFI4N,anonymous,"1",1,,2,,25,"1",,"1","1",,"1",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",90.311,90.311,91.431,1,20,"4",1,,,1,,1,1,,,,,1,1,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,6,3,6,2,7,4,6,1,6,6,6,1,2,6,2,2,4,11,12,9,7,3,8,5,1,14,16,10,13,15,6,1,1,high,edo
12,100,806,1,R_ulwu6g8MqMcvmwx,anonymous,"1",2,,2,,24,"1",,"1","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",76.879,231.961,233.247,9,40,"4",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,,1,1,1,,1,,,,,,1,4,3,4,1,6,2,6,1,5,4,7,1,1,2,2,11,5,3,2,1,15,8,9,10,14,6,13,16,12,4,7,1,2,low,sdo
548,100,514,1,R_1r1AKVTTpqvY0d5,anonymous,"1",1,,2,,25,"1",,"1","1",,"1",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",7.556,54.976,55.919,11,15,"3",1,1,,,1,1,1,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,1,6,2,6,1,7,7,7,6,2,3,2,15,8,6,5,11,10,13,16,14,1,12,9,4,2,3,7,1,1,high,edo
285,100,649,1,R_1LZvJZ4GPkjrFKx,anonymous,"1",1,,2,,37,"1",,"2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral",1.813,90.883,91.822,32,20,"5",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,,,,5,7,4,7,1,7,2,7,2,6,6,7,6,5,7,2,7,13,14,6,4,15,8,11,16,12,10,5,1,3,2,9,1,2,low,edo
662,100,655,1,R_25FTfHnqK9rWYYA,anonymous,"1",1,,2,,26,"1",,"3","4","Pays Bas ","2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",2.071,99.902,100.754,63,70,"4",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,1,1,,1,,1,1,1,,1,7,4,7,1,7,1,7,1,7,7,7,1,7,7,2,14,10,15,11,5,6,8,12,3,7,16,13,1,4,2,9,1,2,low,edo
620,100,517,1,R_1GHy6DSBISMjaE6,anonymous,"1",2,,3,,19,"1",,"1","1",,"1",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",15.076,117.13,117.967,19,40,"3",1,1,,1,1,1,1,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,12,7,4,7,2,7,2,7,7,7,1,7,6,2,13,2,6,9,3,8,7,12,5,4,15,16,14,1,11,10,1,1,high,edo
78,100,760,1,R_a8Khz6i3j2KG5wt,anonymous,"1",2,,2,,30,"1",,"2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",11.98,85.502,87.23,22,50,"3",,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,,,1,,,1,,1,1,,2,6,5,7,1,7,4,7,3,4,4,7,2,5,7,2,1,4,6,3,9,11,12,2,15,7,5,13,16,8,10,14,1,2,low,edo
146,100,643,1,R_3Hnrm6HXHdJWdBz,anonymous,"1",2,,3,,26,"1",,"1","1",,"4",,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",1.612,111.726,112.232,23,35,"3",1,,,1,,1,1,1,1,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,7,1,7,1,4,1,7,7,7,2,1,7,3,9,8,14,10,15,7,13,12,11,5,1,6,2,4,16,3,1,1,high,sdo
162,100,649,1,R_1GwxgzRM2r6NrOX,anonymous,"1",1,,1,,25,"1",,"1","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",23.15,87.293,88.139,6,5,"3",1,1,,1,1,1,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,3,5,5,5,6,2,6,3,4,5,1,3,3,3,6,14,12,4,15,13,10,7,9,16,2,1,8,11,5,1,1,high,sdo
627,100,784,1,R_2rG6roeCiu0ibSG,anonymous,"1",1,,2,,27,"1",,"3","1",,"1",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",2.285,29.929,31.268,12,1,"2",,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,1,1,,1,1,,,,1,,,1,2,3,5,5,2,4,5,5,3,3,2,5,5,3,2,3,11,14,7,16,4,2,9,1,13,15,12,6,8,3,5,10,1,2,low,edo
610,100,417,1,R_vq6VNAJS34SWYQF,anonymous,"1",2,,2,,21,"1",,"1","2",,"2",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",11.883,50.68,51.3,18,30,"6",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,,,,,1,,,,,1,,,1,7,1,7,1,7,1,7,1,7,7,7,1,4,5,3,5,7,2,6,8,9,1,14,3,16,10,12,4,11,15,13,1,2,low,sdo
284,100,913,1,R_2Xb8y2tUR9jxdeS,anonymous,"1",1,,2,,17,"1",,"1","1",,"1",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",7.975,210.324,211.329,34,70,"2",1,1,,1,,1,1,,,,,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4,6,5,12,3,5,2,4,2,6,6,6,2,2,4,3,9,5,14,1,4,8,2,10,13,12,6,7,3,11,16,15,1,1,high,sdo
660,100,791,1,R_24bKoVtgYdksTKc,anonymous,"1",2,,2,,43,"1",,"2","1",,"1",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",17.712,105.335,106.481,12,15,"2",1,1,,1,,1,1,,,,,1,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,6,2,6,2,6,2,6,1,6,6,6,4,2,5,4,5,2,16,9,15,14,4,7,8,6,10,12,11,13,3,1,1,1,high,edo
395,97,674,0,R_3q9wL5QdEpxPx3G,anonymous,"1",2,,2,,50,"2","2","2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",26.365,87.318,87.911,30,,"8",,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,,,1,,,,,,1,,2,5,1,5,1,7,3,5,1,7,5,5,3,1,5,4,13,12,1,7,5,9,8,3,11,6,4,16,15,10,14,2,1,2,low,sdo
