startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID2,QID24,QID24_4_TEXT,QID202,QID202_5_TEXT,QID27_1,QID128,QID128_2_TEXT,QID130,QID209,QID209_4_TEXT,QID210,QID210_4_TEXT,QID177_7,QID177_8,QID177_9,QID177_10,QID177_11,QID177_12,QID177_14,QID177_15,QID177_16,QID177_17,QID211_FIRST_CLICK,QID211_LAST_CLICK,QID211_PAGE_SUBMIT,QID211_CLICK_COUNT,QID213,QID214_1,QID214_2,QID214_3,QID214_4,QID214_5,QID215_1,QID216,QID204_1,QID204_4,QID204_5,QID204_6,QID204_7,QID204_8,QID204_9,QID204_10,QID204_11,QID204_12,QID204_13,QID204_14,QID204_15,QID204_16,QID204_17,QID204_18,QID204_19,QID204_20,QID204_21,QID204_22,QID204_23,QID204_24,QID206_1,QID206_4,QID206_5,QID206_6,QID206_7,QID206_8,QID206_9,QID206_10,QID206_11,QID206_12,QID206_13,QID206_14,QID206_15,QID206_16,QID206_17,QID206_18,QID206_19,QID206_20,QID206_21,QID206_22,QID206_23,QID206_24,QID183_47,QID183_52,QID183_55,QID183_50,QID183_41,QID183_48,QID183_13,QID183_51,QID183_42,QID183_44,QID183_49,QID183_53,QID183_45,QID183_46,QID183_54,QID183_43,QID183_DO_1,QID183_DO_2,QID183_DO_3,QID183_DO_4,QID183_DO_5,QID183_DO_6,QID183_DO_7,QID183_DO_8,QID183_DO_9,QID183_DO_10,QID183_DO_11,QID183_DO_12,QID183_DO_13,QID183_DO_14,QID183_DO_15,QID183_DO_16,QID150_1,FL_62_DO_control_high,FL_62_DO_control_low,FL_60_DO_SDO7,FL_60_DO_EDO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,"Consent - Formulaire de Consentement    Par la présente, je donne mon consentement éclairé au fait que j'ai participé librement et volontairement à cette étude. Je comprends que ma participation n'est pas obligatoire et que je peux l'interrompre à tout moment sans avoir à me justifier et sans en subir les conséquences.Mon consentement ne décharge pas les organisateurs de cette recherche de leurs responsabilités et, à ce titre, je conserve tous les droits qui me sont conférés par la loi. J'accepte que mes données, soient collectées à des fins scientifiques. Je comprends que les données collectées, quelle que soit leur nature, sont strictement confidentielles et que les organisateurs de cette recherche s'engagent à traiter de manière anonyme les informations et les données de chaque participant.e. Je comprends qu'une fois l'enquête terminée et mes données rendues anonymes, les données collectées seront stockées sur un serveur appartenant à l'université. Je comprends que les données seront traitées, sans utilisation des noms des participants, exclusivement par la communauté scientifique.     Veuillez cocher la case suivante pour confirmer votre consentement :",gender - Quel est votre genre ? - Selected Choice,gender_4_TEXT - Quel est votre genre ? - Autre - Text,sexual_orientation - Laquelle de ces orientations sexuelles décrit au mieux la vôtre en ce moment ? - Selected Choice,sexual_orientation_5_TEXT - Laquelle de ces orientations sexuelles décrit au mieux la vôtre en ce moment ? - Autre - Text,age_1 - Quel est votre âge ? - my age,kids - Avez-vous des enfants ? - Selected Choice,"kids_2_TEXT - Avez-vous des enfants ? - Oui, combien ? - Text",activity - Etes-vous (en ce moment) :,pays - Dans quel pays résidez-vous ? - Selected Choice,pays_4_TEXT - Dans quel pays résidez-vous ? - Autre - Text,nationalite - Quelle est votre nationalité ? - Selected Choice,nationalite_4_TEXT - Quelle est votre nationalité ? - Autre - Text,"society_ladder_1 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 10","society_ladder_2 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 9","society_ladder_3 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 8","society_ladder_4 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 7","society_ladder_5 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 6","society_ladder_6 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 5","society_ladder_7 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 4","society_ladder_8 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 3","society_ladder_9 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 2","society_ladder_10 - Cette échelle représente la société en général.  Le haut de l’échelle représente les individus les plus favorisés, ceux qui ont les plus hauts revenus, les niveaux d’éducation les plus élevés et les emplois les plus prestigieux. Le bas de l’échelle représente les individus les moins favorisés, ceux qui ont les plus bas revenus, les niveaux d’éducation les moins élevés et les emplois les moins prestigieux. Veuillez indiquer là où vous pensez vous situer par rapport à la société en général. - 1",alarm_timer_First Click - Timing - First Click,alarm_timer_Last Click - Timing - Last Click,alarm_timer_Page Submit - Timing - Page Submit,alarm_timer_Click Count - Timing - Click Count,as_d_confirm - Confirmation,consignes_check_d_1 - Quels sont les 3 solutions principales mis en avant par Essaim d'Alerte ? - Réduire notre consommation de ressources naturelles,consignes_check_d_2 - Quels sont les 3 solutions principales mis en avant par Essaim d'Alerte ? - Le nettoyage collectif des océans,consignes_check_d_3 - Quels sont les 3 solutions principales mis en avant par Essaim d'Alerte ? - Le contrôle de la croissance de la population,consignes_check_d_4 - Quels sont les 3 solutions principales mis en avant par Essaim d'Alerte ? - L'arrêt de l'élevage intensif de viande,consignes_check_d_5 - Quels sont les 3 solutions principales mis en avant par Essaim d'Alerte ? - Le boycott des smartphones et des appareils électroniques,"desc_norm_d_1 - Sur une échelle de 0 à 100 %, veuillez indiquer, selon vous, la proportion de la population qui serait d'accord avec le type de politiques/solutions proposées par le groupe d'activistes. - Proportion de la population qui serait en accord avec les propositions d'Essaim d'Alerte","presc_norm_d - Sur une échelle de 1 (perturbation totale) à 7 (conformité totale), veuillez évaluer dans quelle mesure les solutions proposées par Essaim d'Alerte sont compatibles avec le fonctionnement de votre pays ?",control_select_1 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma façon de me déplacer.,control_select_4 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - La qualité des aliments que j'achète.,control_select_5 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Les réformes environnementales décidées par mon gouvernement.,"control_select_6 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma consommation d'énergie (eau chaude, air conditionné, les transports, etc.).",control_select_7 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Réussir l'examen pour obtenir mon permis de conduire.,control_select_8 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - La quantité de viande rouge et blanche que je consomme.,"control_select_9 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon temps d'utilisation des appareils électroniques (jeux vidéo, médias sociaux, etc.).",control_select_10 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mes émotions lors d'une réunion avec mon.ma supérieur.e au travail.,control_select_11 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon humeur du lendemain.,control_select_12 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Le contenu qui apparaît sur ma page de recommandation YouTube.,control_select_13 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon salaire.,control_select_14 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - L'organisation de mes responsabilités quotidiennes.,control_select_15 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon poids et ma forme physique.,control_select_16 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mes dépenses mensuelles.,control_select_17 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - L'avenir des animaux abandonnés.,control_select_18 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma vie de famille.,control_select_19 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon avenir professionnel.,control_select_20 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma peur d'approcher des inconnus.,control_select_21 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma gêne d'effectuer un appel administratif.,control_select_22 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon trac juste avant une performance.,control_select_23 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Mon excitation lorsque je vois ma star préférée en personne.,control_select_24 - Veuillez Cocher les 10 domaines sur lesquels avez le plus de contrôle - Ma posture en public.,control_low_select_1 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma façon de me déplacer.,control_low_select_4 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - La qualité des aliments que j'achète.,control_low_select_5 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Les réformes environnementales décidées par mon gouvernement.,"control_low_select_6 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma consommation d'énergie (eau chaude, air conditionné, les transports, etc.).",control_low_select_7 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Réussir l'examen pour obtenir mon permis de conduire.,control_low_select_8 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - La quantité de viande rouge et blanche que je consomme.,"control_low_select_9 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon temps d'utilisation des appareils électroniques (jeux vidéo, médias sociaux, etc.).",control_low_select_10 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mes émotions lors d'une réunion avec mon.ma supérieur.e au travail.,control_low_select_11 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon humeur du lendemain.,control_low_select_12 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Le contenu qui apparaît sur ma page de recommandation YouTube.,control_low_select_13 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon salaire.,control_low_select_14 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - L'organisation de mes responsabilités quotidiennes.,control_low_select_15 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon poids et ma forme physique.,control_low_select_16 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mes dépenses mensuelles.,control_low_select_17 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - L'avenir des animaux abandonnés.,control_low_select_18 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma vie de famille.,control_low_select_19 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon avenir professionnel.,control_low_select_20 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma peur d'approcher des inconnus.,control_low_select_21 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma gêne d'effectuer un appel administratif.,control_low_select_22 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon trac juste avant une performance.,control_low_select_23 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Mon excitation lorsque je vois ma star préférée en personne.,control_low_select_24 - Veuillez Cocher les 10 domaines sur lesquels avez le moins de contrôle - Ma posture en public.,sdo_french_1 - Veuillez indiquer votre accord avec les propositions suivantes: - Certains groupes de personnes sont tout simplement inférieurs aux autres groupes.,sdo_french_2 - Veuillez indiquer votre accord avec les propositions suivantes: - L'égalité des groupes devrait être notre idéal.,sdo_french_3 - Veuillez indiquer votre accord avec les propositions suivantes: - Il est normal que certains groupes de personnes aient plus de chance dans la vie que d'autres.,"sdo_french_4 - Veuillez indiquer votre accord avec les propositions suivantes: - Dans la mesure du possible, nous devons agir pour que les conditions des différents groupes soient égales.","sdo_french_5 - Veuillez indiquer votre accord avec les propositions suivantes: - Pour aller de l'avant dans la vie, il est parfois nécessaire d'écraser d'autres groupes.",sdo_french_6 - Veuillez indiquer votre accord avec les propositions suivantes: - Améliorons l'égalité sociale.,sdo_french_7 - Veuillez indiquer votre accord avec les propositions suivantes: - C'est probablement une bonne chose qu'il y ait certains groupes au sommet et d'autres au plus bas niveau.,sdo_french_8 - Veuillez indiquer votre accord avec les propositions suivantes: - Il y aurait moins de problèmes si l'on traitait les gens de façon plus égalitaire.,sdo_french_9 - Veuillez indiquer votre accord avec les propositions suivantes: - Les groupes inférieurs devraient rester à leur place.,sdo_french_10 - Veuillez indiquer votre accord avec les propositions suivantes: - Aucun groupe ne devrait dominer dans la société.,sdo_french_11 - Veuillez indiquer votre accord avec les propositions suivantes: - Ce serait bien si les groupes pouvaient être égaux.,sdo_french_12 - Veuillez indiquer votre accord avec les propositions suivantes: - On devrait accorder des chances égales dans la vie à tous les groupes.,sdo_french_13 - Veuillez indiquer votre accord avec les propositions suivantes: - Il y aurait moins de problèmes si certains groupes acceptaient de rester à leur place.,"sdo_french_14 - Veuillez indiquer votre accord avec les propositions suivantes: - Afin d'obtenir ce que l'on veut, il est parfois nécessaire d'utiliser la force contre d'autres groupes.",sdo_french_15 - Veuillez indiquer votre accord avec les propositions suivantes: - On devrait s'efforcer de faire en sorte que les revenus des gens soient aussi égaux que possible.,"sdo_french_16 - Veuillez indiquer votre accord avec les propositions suivantes: - Parfois, il faut maintenir les autres groupes à leur place.",sdo_french_DO_1 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Certains groupes de personnes sont tout simplement inférieurs aux autres groupes.,sdo_french_DO_2 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - L'égalité des groupes devrait être notre idéal.,sdo_french_DO_3 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Il est normal que certains groupes de personnes aient plus de chance dans la vie que d'autres.,"sdo_french_DO_4 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Dans la mesure du possible, nous devons agir pour que les conditions des différents groupes soient égales.","sdo_french_DO_5 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Pour aller de l'avant dans la vie, il est parfois nécessaire d'écraser d'autres groupes.",sdo_french_DO_6 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Améliorons l'égalité sociale.,sdo_french_DO_7 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - C'est probablement une bonne chose qu'il y ait certains groupes au sommet et d'autres au plus bas niveau.,sdo_french_DO_8 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Il y aurait moins de problèmes si l'on traitait les gens de façon plus égalitaire.,sdo_french_DO_9 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Les groupes inférieurs devraient rester à leur place.,sdo_french_DO_10 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Aucun groupe ne devrait dominer dans la société.,sdo_french_DO_11 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Ce serait bien si les groupes pouvaient être égaux.,sdo_french_DO_12 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - On devrait accorder des chances égales dans la vie à tous les groupes.,sdo_french_DO_13 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Il y aurait moins de problèmes si certains groupes acceptaient de rester à leur place.,"sdo_french_DO_14 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Afin d'obtenir ce que l'on veut, il est parfois nécessaire d'utiliser la force contre d'autres groupes.",sdo_french_DO_15 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - On devrait s'efforcer de faire en sorte que les revenus des gens soient aussi égaux que possible.,"sdo_french_DO_16 - Veuillez indiquer votre accord avec les propositions suivantes: - Display Order - Parfois, il faut maintenir les autres groupes à leur place.",edo_response_1 - edo_response,FL_62_DO_control_high - FL_62 - Block Randomizer - Display Order - control_high,FL_62_DO_control_low - FL_62 - Block Randomizer - Display Order - control_low,FL_60_DO_SDO7 - FL_60 - Block Randomizer - Display Order - SDO7,FL_60_DO_EDO - FL_60 - Block Randomizer - Display Order - EDO
05.04.23 12:30,05.04.23 12:30,0,62.202.188.144,100,16,1,05.04.23 12:30,R_2WIop5zH8vlvJVF,,,,,46.9286,7.4197,anonymous,EN-GB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.04.23 06:32,06.04.23 06:32,0,128.179.144.223,100,14,1,06.04.23 06:32,R_2Ec9WyCI2rhamDO,,,,,46.5163,6.5802,anonymous,EN-GB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.04.23 06:33,06.04.23 06:37,0,128.179.144.223,100,262,1,06.04.23 06:37,R_2rZt6smOByfg4J3,,,,,46.5163,6.5802,anonymous,EN-GB,1,1,,2,,23,1,,1,1,,1,,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,9.098,9.098,10.135,1,1,1,,1,1,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,1,1,,,1,,1,,1,1,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,15,1,3,5,6,11,4,2,7,8,9,10,16,14,13,5,,1,1,2
06.04.23 06:34,06.04.23 06:38,0,128.179.140.142,100,250,1,06.04.23 06:38,R_3dLFnbOYf46tdxI,,,,,46.5163,6.5802,anonymous,EN-GB,1,1,,2,,23,1,,1,1,,3,,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,12.351,12.351,14.615,1,1,1,,1,1,,69,5,1,1,,,1,,1,,,1,,,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,7,4,6,2,6,1,6,6,6,2,5,4,2,11,9,15,2,16,3,6,13,8,7,14,4,10,1,5,12,6,1,,2,1
06.04.23 09:24,06.04.23 09:33,0,178.197.196.173,100,520,1,06.04.23 09:33,R_3RyZCK4p39GSSMr,,,,,46.5378,6.622,anonymous,EN-GB,1,1,,2,,26,1,,6,1,,1,,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7.289,93.841,96.804,18,1,1,,1,1,,67,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,1,,,,1,1,,,,1,,1,1,7,1,7,1,7,1,6,1,7,7,7,1,1,7,1,12,5,7,3,6,10,14,13,1,8,11,15,2,16,9,4,1,,1,1,2
08.04.23 05:13,08.04.23 05:31,0,109.134.111.29,100,1056,1,08.04.23 05:31,R_2rIoJmBDripkBmB,,,,,50.8534,4.347,anonymous,EN-GB,1,1,,2,,23,1,,1,1,,2,,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2.847,127.745,128.646,17,1,1,,1,1,,60,6,1,,,,,1,,1,1,,,1,1,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,2,7,1,7,1,7,1,7,7,7,1,5,6,2,9,11,1,14,15,16,2,6,10,13,5,12,4,3,7,8,5,1,,2,1
08.04.23 05:13,08.04.23 05:32,0,109.134.111.29,100,1144,1,08.04.23 05:32,R_2X6EK6otepLdHd6,,,,,50.8534,4.347,anonymous,EN-GB,1,2,,2,,22,1,,1,3,,2,,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,13.528,131.438,132.147,17,1,1,,1,1,,65,5,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,1,1,1,,,1,1,1,,,,,,1,5,2,6,2,7,1,6,1,6,6,7,1,5,3,4,1,6,14,10,4,16,5,3,12,8,7,11,13,2,15,9,2,,1,1,2
08.04.23 09:18,08.04.23 09:48,0,37.169.28.216,100,1793,1,08.04.23 09:48,R_3jeZiiSQD7trDss,,,,,48.8582,2.3387,anonymous,EN-GB,1,1,,2,,22,1,,1,1,,2,,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,25.216,115.408,116.693,12,1,1,,1,1,,30,2,1,1,,,,,1,,1,,,,1,1,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,6,5,6,3,7,3,6,1,7,6,6,4,6,2,6,3,4,6,12,13,9,14,15,10,2,1,8,16,7,5,11,5,1,,2,1
09.04.23 06:55,09.04.23 07:04,0,90.119.227.53,100,548,1,09.04.23 07:04,R_28Z1B2TEGgD2e7i,,,,,45.4266,4.8333,anonymous,EN-GB,1,2,,2,,23,1,,1,1,,3,,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.369,113.311,113.846,63,1,1,,1,1,,45,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,1,,,,1,1,,,,,1,,1,6,3,7,1,7,4,6,1,5,7,7,1,2,7,2,11,15,8,4,5,7,10,1,13,9,12,3,14,2,6,16,3,,1,1,2
