order,participant_ID,PE_measure,lickert_score,ratio_OT,PE_type,age,gender,occupation,duration,progress,diplome
1,1,population opportunity self,1,0.166666667,1,28,masculin,travail,293,100,diplome_universitaire
3,1,ressources opportunity self,5,1.25,2,28,masculin,travail,293,100,diplome_universitaire
5,1,nature opportunity self,3,0.6,3,28,masculin,travail,293,100,diplome_universitaire
7,2,population opportunity self,3,0.75,1,23,feminin,deux,243,100,diplome_universitaire
9,2,ressources opportunity self,7,7,2,23,feminin,deux,243,100,diplome_universitaire
11,2,nature opportunity self,7,7,3,23,feminin,deux,243,100,diplome_universitaire
13,3,population opportunity self,5,1.666666667,1,23,feminin,formation_etudes,831,100,maturite
15,3,ressources opportunity self,6,6,2,23,feminin,formation_etudes,831,100,maturite
17,3,nature opportunity self,7,7,3,23,feminin,formation_etudes,831,100,maturite
19,4,population opportunity self,1,0.5,1,24,feminin,travail,398,100,diplome_universitaire
21,4,ressources opportunity self,4,1.333333333,2,24,feminin,travail,398,100,diplome_universitaire
23,4,nature opportunity self,2,0.4,3,24,feminin,travail,398,100,diplome_universitaire
25,5,population opportunity self,3,0.6,1,24,masculin,deux,594,100,maturite
27,5,ressources opportunity self,5,1.666666667,2,24,masculin,deux,594,100,maturite
29,5,nature opportunity self,4,1,3,24,masculin,deux,594,100,maturite
31,6,population opportunity self,4,1,1,21,masculin,travail,354,100,certificat_federal
33,6,ressources opportunity self,5,5,2,21,masculin,travail,354,100,certificat_federal
35,6,nature opportunity self,5,5,3,21,masculin,travail,354,100,certificat_federal
37,7,population opportunity self,2,2,1,23,feminin,travail,1722,100,diplome_universitaire
39,7,ressources opportunity self,7,3.5,2,23,feminin,travail,1722,100,diplome_universitaire
41,7,nature opportunity self,7,7,3,23,feminin,travail,1722,100,diplome_universitaire
43,8,population opportunity self,4,1,1,25,masculin,formation_etudes,772,100,diplome_universitaire
45,8,ressources opportunity self,6,6,2,25,masculin,formation_etudes,772,100,diplome_universitaire
47,8,nature opportunity self,6,6,3,25,masculin,formation_etudes,772,100,diplome_universitaire
49,9,population opportunity self,1,1,1,50,feminin,travail,424,100,diplome_universitaire
51,9,ressources opportunity self,5,2.5,2,50,feminin,travail,424,100,diplome_universitaire
53,9,nature opportunity self,1,0.2,3,50,feminin,travail,424,100,diplome_universitaire
55,10,population opportunity self,5,5,1,28,masculin,travail,848,100,diplome_universitaire
57,10,ressources opportunity self,5,1.25,2,28,masculin,travail,848,100,diplome_universitaire
59,10,nature opportunity self,4,1,3,28,masculin,travail,848,100,diplome_universitaire
61,11,population opportunity self,1,0.25,1,26,feminin,formation_etudes,325,100,maturite
63,11,ressources opportunity self,5,5,2,26,feminin,formation_etudes,325,100,maturite
65,11,nature opportunity self,3,0.6,3,26,feminin,formation_etudes,325,100,maturite
67,12,population opportunity self,3,0.6,1,23,feminin,formation_etudes,303,100,diplome_universitaire
69,12,ressources opportunity self,7,7,2,23,feminin,formation_etudes,303,100,diplome_universitaire
71,12,nature opportunity self,7,7,3,23,feminin,formation_etudes,303,100,diplome_universitaire
73,13,population opportunity self,3,0.6,1,25,feminin,formation_etudes,516,100,maturite
75,13,ressources opportunity self,6,3,2,25,feminin,formation_etudes,516,100,maturite
77,13,nature opportunity self,3,0.6,3,25,feminin,formation_etudes,516,100,maturite
79,14,population opportunity self,1,0.25,1,19,autre,formation_etudes,370,100,maturite
81,14,ressources opportunity self,3,0.75,2,19,autre,formation_etudes,370,100,maturite
83,14,nature opportunity self,4,2,3,19,autre,formation_etudes,370,100,maturite
85,15,population opportunity self,7,7,1,25,feminin,deux,408,100,diplome_universitaire
87,15,ressources opportunity self,6,6,2,25,feminin,deux,408,100,diplome_universitaire
89,15,nature opportunity self,7,7,3,25,feminin,deux,408,100,diplome_universitaire
91,16,population opportunity self,2,0.4,1,24,feminin,formation_etudes,266,100,maturite
93,16,ressources opportunity self,7,7,2,24,feminin,formation_etudes,266,100,maturite
95,16,nature opportunity self,6,3,3,24,feminin,formation_etudes,266,100,maturite
97,17,population opportunity self,3,3,1,40,feminin,travail,268,100,certificat_federal
99,17,ressources opportunity self,6,6,2,40,feminin,travail,268,100,certificat_federal
101,17,nature opportunity self,1,0.2,3,40,feminin,travail,268,100,certificat_federal
103,18,population opportunity self,1,1,1,53,feminin,travail,692,100,certificat_federal
105,18,ressources opportunity self,7,7,2,53,feminin,travail,692,100,certificat_federal
107,18,nature opportunity self,5,1.666666667,3,53,feminin,travail,692,100,certificat_federal
109,19,population opportunity self,5,5,1,43,feminin,travail,285,100,diplome_universitaire
111,19,ressources opportunity self,5,2.5,2,43,feminin,travail,285,100,diplome_universitaire
113,19,nature opportunity self,5,1.25,3,43,feminin,travail,285,100,diplome_universitaire
115,20,population opportunity self,4,1,1,25,feminin,travail,1199,100,diplome_universitaire
117,20,ressources opportunity self,4,1,2,25,feminin,travail,1199,100,diplome_universitaire
119,20,nature opportunity self,5,1.666666667,3,25,feminin,travail,1199,100,diplome_universitaire
121,21,population opportunity self,7,7,1,25,masculin,formation_etudes,559,100,diplome_universitaire
123,21,ressources opportunity self,7,7,2,25,masculin,formation_etudes,559,100,diplome_universitaire
